Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
willowwood-pequeno-1-s350-6593-1,,,,,,,,Código,S352-6593-2,S352-6593-2,shopify,0,deny,manual,,TRUE,TRUE,,,
willowwood-medio-1-s350-6590-1,Médio 1 S350-6590-1,<p>Médio 1 S350-6590-1 — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>,WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,S352-6590-1,S352-6590-1,shopify,0,deny,manual,,TRUE,TRUE,,Médio 1 S350-6590-1,draft
willowwood-medio-1-s350-6590-1,,,,,,,,Código,S352-6590-2,S352-6590-2,shopify,0,deny,manual,,TRUE,TRUE,,,
willowwood-medio-1-s350-6594-1,Médio + 1 S350-6594-1,<p>Médio + 1 S350-6594-1 — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>,WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,S352-6594-1,S352-6594-1,shopify,0,deny,manual,,TRUE,TRUE,,Médio + 1 S350-6594-1,draft
willowwood-medio-1-s350-6594-1,,,,,,,,Código,S352-6594-2,S352-6594-2,shopify,0,deny,manual,,TRUE,TRUE,,,
willowwood-medio-1-s350-6594-1,,,,,,,,Código,S352-6594-3,S352-6594-3,shopify,0,deny,manual,,TRUE,TRUE,,,
willowwood-grande-1-s350-6596-1,Grande 1 S350-6596-1,<p>Grande 1 S350-6596-1 — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>,WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,S352-6596-1,S352-6596-1,shopify,0,deny,manual,,TRUE,TRUE,,Grande 1 S350-6596-1,draft
willowwood-grande-1-s350-6596-1,,,,,,,,Código,S352-6596-2,S352-6596-2,shopify,0,deny,manual,,TRUE,TRUE,,,
willowwood-extra-grande-t350-6597-1,Extra Grande T350-6597-1,<p>Extra Grande T350-6597-1 — distribuído pela minha prótese com nota fiscal e garantia de origem da WillowWood.</p>,WillowWood,Health & Beauty > Health Care > Mobility & Accessibility,,WillowWood,TRUE,Código,S352-6597-1,S352-6597-1,shopify,0,deny,manual,,TRUE,TRUE,,Extra Grande T350-6597-1,draft
willowwood-extra-grande-t350-6597-1,,,,,,,,Código,T352-6597-1,T352-6597-1,shopify,0,deny,manual,,TRUE,TRUE,,,
